0.82956,-0.54831,0.0096056,0.54954,0.64886,0.090355,0.65218,0.12476,0.91613,0.90735,-0.37047
0.15286,-0.53179,0.012793,0.46622,0.71576,-0.87499,-0.23763,0.37047,-0.83904,-0.98532,0.17584
-0.3195,-0.46583,-0.012242,0.47949,-0.43445,0.07025,-0.22041,-0.15626,-0.17891,0.62023,-0.64824
0.18276,-0.49303,-0.032042,0.46603,-0.11152,0.29506,-0.40524,-0.60485,-0.13659,0.21066,0.012703
0.96534,-0.49391,0.0241,0.45677,-0.13357,0.062244,-0.92875,0.561,-0.13701,-0.29148,-0.64304
-0.85045,-0.49785,0.027709,0.48801,-0.58262,-0.40322,-0.085653,0.25121,0.2312,0.24098,-0.19637
-0.021473,-0.52421,0.0054615,0.47512,0.84235,-0.012082,-0.65391,0.59178,-0.056444,0.11246,-0.16345
-0.68367,-0.46816,0.034749,0.49081,-0.74054,0.17104,-0.40819,-0.45326,-0.48271,0.18077,0.88521
0.52393,-0.53547,0.0054527,0.53608,0.068147,0.29807,-0.4413,-0.10744,-0.082875,0.1314,0.88107
0.87162,-0.53674,0.028879,0.50525,0.20146,-0.1022,0.1698,-0.92137,-0.37644,-0.086125,0.54544
-0.85251,-0.49911,-0.023986,0.53098,-0.34706,-0.7995,-0.85571,0.63276,0.12992,-0.50062,-0.58986
-0.99975,-0.52954,0.021884,0.46832,0.52037,-0.18392,0.2157,-0.94652,0.63351,0.24499,0.52434
0.77595,-0.52864,0.0022685,0.51726,0.099721,-0.8034,0.96145,-0.19391,0.81678,0.63071,0.71342
-0.27689,-0.53183,0.018348,0.46963,0.31974,0.5701,-0.34488,0.061748,0.29681,0.9289,-0.44365
0.52388,-0.53325,-0.0025777,0.49317,-0.34538,-0.2071,0.50703,-0.7784,0.89184,0.87251,0.57943
0.14323,-0.54795,0.014958,0.4987,0.11925,-0.61935,-0.8306,-0.12434,-0.69796,0.60214,-0.046278
-0.31178,-0.45845,0.0013633,0.51995,-0.63073,0.142,0.13033,-0.3576,0.058807,0.26299,-0.4248
0.11645,-0.54965,0.019904,0.50252,0.39385,0.93591,0.77965,0.86936,-0.63367,-0.10322,-0.33092
-0.61601,-0.48349,0.010869,0.53471,-0.58767,-0.55993,0.026153,0.72425,-0.77716,0.37945,0.47175
0.98512,-0.52388,-0.042411,0.51415,-0.40881,-0.39788,-0.17548,0.75988,-0.95702,-0.90302,-0.14897
